index,geometry
611,POINT (121763.665127932 486667.4836385446)
612,POINT (121787.845948861 486655.4031090586)
613,POINT (121693.949709704 486682.6649100502)
614,POINT (121661.8162582684 486685.3485471842)
615,POINT (121238.046075562 485808.3520656543)
616,POINT (121224.1116197027 485793.5016737829)
617,POINT (121237.2161982621 485806.7486800058)
618,POINT (121202.4788066555 485772.0993715526)
619,POINT (123966.1103371453 486736.4627685159)
620,POINT (123985.3390143213 486776.209943996)
621,POINT (123993.4200258527 486790.3667257243)
622,POINT (123970.5748600176 486762.3226805197)
623,POINT (123983.1606377865 486764.9735783145)
624,POINT (123963.4198381258 486747.9716166511)
625,POINT (123959.5554468901 486756.7266163394)
626,POINT (123958.2038935065 486747.4494195546)
627,POINT (123857.5749734591 486830.2473936704)
628,POINT (123792.4448615061 486842.2712016411)
629,POINT (123819.5462800737 486793.5715551602)
630,POINT (123797.0781941242 486841.6352516692)
631,POINT (123759.5151718 486761.2550658446)
632,POINT (123759.2048634016 486760.8555337559)
633,POINT (121623.664783867 485841.7780590157)
634,POINT (121568.0360989214 485833.7757880276)
635,POINT (120942.4097203457 485996.3958751523)
636,POINT (120967.4669875348 485978.3810140048)
637,POINT (121887.9440202793 486034.1626699292)
638,POINT (121866.0549490577 486016.892103559)
639,POINT (121155.8798925711 485879.1227563422)
640,POINT (120901.9429249807 488790.7055310783)
641,POINT (120904.0067273 488811.2459268918)
642,POINT (120239.5206949493 486952.8431588436)
643,POINT (120245.7204313785 486936.919409404)
644,POINT (120248.0221527978 486957.6582982059)
645,POINT (120267.4198461937 486912.5026086238)
646,POINT (120232.3252736885 486992.0892788013)
647,POINT (120252.3159774412 486949.6003084878)
648,POINT (121331.6123252304 488923.2015520449)
649,POINT (121338.8232753353 488894.1126734134)
650,POINT (121430.780520958 487981.5045405187)
651,POINT (121425.8113226642 487977.2165377345)
652,POINT (121204.4280962877 487711.0799201437)
653,POINT (123729.7729042919 486721.2028050054)
654,POINT (123720.009350966 486785.3219363957)
655,POINT (121324.7447235327 488272.6557465605)
656,POINT (121369.3345501086 488244.6873764386)
657,POINT (121340.6577454148 488261.8665417866)
658,POINT (121302.2747443592 488284.0870136618)
659,POINT (121278.8427939967 488299.6003308598)
660,POINT (121368.75980369 488244.9168826602)
661,POINT (120714.7756041022 486232.4738916775)
662,POINT (121398.1848099712 488431.6109208184)
663,POINT (121429.0319990047 488437.0911609777)
664,POINT (121444.2525628212 488430.1017123772)
665,POINT (121435.572519279 488431.8483516656)
666,POINT (121409.0113360885 488432.3796122737)
667,POINT (121426.4591297187 488435.8871603564)
668,POINT (121448.8507731592 488448.1155046658)
669,POINT (121462.6671395639 488446.0056710134)
670,POINT (121181.6263303998 488378.77217067)
671,POINT (121150.610299393 488358.2915294684)
672,POINT (121158.135200446 488370.3014042325)
673,POINT (121153.893083926 488361.2170654237)
674,POINT (121146.6284118003 488353.7451233939)
675,POINT (121153.7653163176 488361.521806707)
676,POINT (121162.624331943 488371.6672689668)
677,POINT (121158.3714840183 488368.3151882017)
678,POINT (121161.1362718518 488367.7042570033)
679,POINT (121002.4290322693 489028.4342268135)
680,POINT (121038.6443324999 489039.1713431432)
681,POINT (121030.973995516 489037.2176249708)
682,POINT (121040.8068037822 489036.3375516607)
683,POINT (121050.94872081 489038.3009766766)
684,POINT (121056.7093420571 489038.3258198765)
685,POINT (121426.3737968404 488433.028262444)
686,POINT (121531.7971521186 488366.857250258)
687,POINT (121518.6020251059 488382.1859316926)
688,POINT (121464.6341987855 488436.1280092994)
689,POINT (121401.4450211627 488449.7791973488)
690,POINT (120654.5413586905 488351.1727546647)
691,POINT (120621.4333986393 488343.9899731903)
692,POINT (122918.2496157611 486242.5005948784)
693,POINT (122848.3749825403 486244.5267708979)
694,POINT (122323.7438193199 486004.0896503606)
695,POINT (122334.0244159269 486005.7774661335)
696,POINT (120174.5715359525 487148.4551889412)
697,POINT (120157.1179969851 487166.0062735631)
698,POINT (120145.6567473364 487161.3221101645)
699,POINT (120142.422120293 487160.5206189459)
700,POINT (121628.7565418418 485837.2459496615)
701,POINT (121305.1710466174 485842.1276636497)
702,POINT (121983.493803694 485924.1733198222)
703,POINT (121996.172950063 485928.0903376132)
704,POINT (121957.5536893409 485924.3961356007)
705,POINT (121988.2156819135 485929.961934779)
706,POINT (121917.6898822306 485910.5093914128)
707,POINT (122024.0168843841 485933.6252399177)
708,POINT (121940.2486301223 485922.8056349924)
