index,geometry
140,POINT (121992.9408702388 487354.0621441326)
141,POINT (121976.3379675054 487341.0529692749)
142,POINT (121970.1507697314 487338.5225701844)
143,POINT (122004.7327509993 487379.7912470397)
144,POINT (121980.200075027 487333.7433212054)
145,POINT (121972.3025403051 487333.6389261662)
146,POINT (122058.4672978557 487594.9860570195)
147,POINT (122055.0407380951 487630.6635720092)
148,POINT (121978.2297364147 487349.1046767916)
149,POINT (121976.6687965661 487342.6724154853)
150,POINT (122000.4883013338 487364.7359258272)
151,POINT (122056.2979064879 487602.6264952493)
152,POINT (121969.8117860928 487338.1557406295)
153,POINT (122055.8649633715 487640.4311248207)
154,POINT (122005.2923384101 487377.1372622764)
155,POINT (121975.7320019469 487344.1672214446)
156,POINT (122000.6487882726 487372.5994348554)
157,POINT (121984.9424148238 487341.9591859949)
158,POINT (122059.0021804934 487630.1103729892)
159,POINT (121981.7056302918 487346.098853649)
160,POINT (121972.0455054084 487336.5419151206)
161,POINT (121984.5500808829 487347.3902339037)
162,POINT (122062.5943972935 487621.9813661126)
163,POINT (121988.9705587894 487355.6760482014)
164,POINT (122062.0219325708 487596.7987807477)
165,POINT (122064.1352466431 487595.4725756534)
166,POINT (121980.8078024901 487335.1379378683)
167,POINT (121978.0374898698 487340.8460537043)
168,POINT (122001.2892611693 487360.2985906767)
169,POINT (122068.0905326861 487603.6016173854)
170,POINT (122058.1402317724 487600.7036999413)
171,POINT (122063.9853961198 487601.1946982291)
172,POINT (122003.4461548015 487362.5773799264)
173,POINT (121993.035021991 487359.3772482399)
174,POINT (121986.6136961524 487353.527732896)
175,POINT (122061.8617919952 487613.7712776026)
176,POINT (121982.5195363437 487336.9207164926)
177,POINT (122067.0819332949 487604.967060093)
178,POINT (122066.7254461681 487598.1599163393)
179,POINT (122005.0834286502 487372.3159667431)
180,POINT (122057.2258278747 487646.7535526356)
181,POINT (121969.8176037371 487336.8536281208)
182,POINT (121983.1123551929 487350.5536140777)
183,POINT (122060.93594933 487626.8650255894)
184,POINT (122056.4448416208 487613.4661043329)
185,POINT (122060.2449758485 487635.7310951574)
186,POINT (122058.4155201557 487630.0129717529)
187,POINT (121983.5971677752 487354.927065794)
188,POINT (122003.8359365588 487365.4639940277)
189,POINT (122064.7513454893 487604.8913392735)
190,POINT (122002.2859882561 487365.5001750654)
191,POINT (122063.9688894391 487591.7518991582)
192,POINT (122055.1444548372 487614.0231539418)
193,POINT (122059.7010796768 487633.6474888264)
194,POINT (122001.6604165883 487368.1208681627)
195,POINT (121988.8743558834 487362.7615272061)
196,POINT (122062.6064771196 487615.5354801454)
197,POINT (122055.447714061 487634.3368720919)
198,POINT (122055.471619831 487651.4696745487)
199,POINT (122003.6994051569 487369.2092164485)
200,POINT (122058.6277177318 487596.2117568149)
201,POINT (122057.5341676795 487612.0850418999)
202,POINT (121969.4849346574 487337.9222970459)
203,POINT (121982.4840516141 487351.2371891663)
204,POINT (122061.6639461944 487624.4875008229)
205,POINT (121988.0815508669 487351.1046058516)
206,POINT (121977.6971761473 487333.6043009995)
207,POINT (121985.0345259389 487356.5708576192)
208,POINT (122059.6460095885 487593.0376254743)
209,POINT (121972.4363238242 487338.2457690514)
210,POINT (121974.2711621513 487331.8248196219)
211,POINT (122060.0880560786 487613.8862827401)
212,POINT (121992.9540174766 487367.6174666685)
213,POINT (121975.7646501755 487346.1746850179)
214,POINT (121987.6490110369 487343.8632605429)
215,POINT (122056.3923449983 487607.0098615631)
216,POINT (122056.5123293425 487618.69054839)
217,POINT (121979.5760205977 487348.6238781327)
218,POINT (122053.3799384105 487644.2962022551)
219,POINT (122058.5949353771 487589.9504676408)
220,POINT (122052.7002905723 487636.5772516354)
221,POINT (122001.8343192887 487377.6567737998)
222,POINT (122065.1888998754 487599.1143386463)
223,POINT (122005.6417761461 487368.3873365487)
224,POINT (122063.0544606235 487621.8745525178)
225,POINT (122057.9540730811 487595.0754001107)
226,POINT (122004.7038448554 487381.4242287759)
227,POINT (121983.9104011825 487340.731572859)
228,POINT (121982.3452656605 487354.4680180949)
229,POINT (121989.0312818476 487351.7994829382)
230,POINT (122058.9605132968 487599.390078716)
231,POINT (121982.2742629278 487341.2656314273)
232,POINT (121972.0993773642 487339.2151113086)
233,POINT (122066.1751105869 487610.4497094008)
234,POINT (122003.1655322593 487372.0316960044)
235,POINT (121986.7923369521 487351.1942686244)
236,POINT (122005.7519932341 487377.0314931048)
237,POINT (121974.614142955 487339.8110401107)
238,POINT (121981.2201587308 487347.43356531)
239,POINT (121978.6448177714 487333.5077020604)
240,POINT (122058.6974018907 487606.2559121093)
241,POINT (122062.0137162616 487601.8534395438)
242,POINT (121976.3200127338 487338.0547498735)
243,POINT (122000.1088140126 487375.4703870197)
244,POINT (122054.5551069892 487618.229922896)
245,POINT (122053.8309717831 487629.178130119)
246,POINT (121980.1930629 487341.7903430545)
247,POINT (122057.5570183524 487613.8383369223)
248,POINT (122054.2995890763 487624.9461573607)
249,POINT (121976.0496318888 487330.4894984544)
250,POINT (122001.7278874959 487373.6498437434)
251,POINT (121980.4717838849 487333.8523902732)
252,POINT (121981.7638177582 487353.8174220705)
253,POINT (121988.3946955711 487352.0751454661)
254,POINT (121973.9026603263 487342.4872044015)
255,POINT (122056.743083351 487643.0993488882)
256,POINT (121987.1917972376 487358.4852432448)
257,POINT (121985.8282194261 487349.887183886)
258,POINT (121972.4968434527 487334.0957674773)
