0,POINT (121944.2379893028 484321.8070910377)
1,POINT (121913.1238416286 484305.3575272617)
2,POINT (121966.4753961076 485283.2638813849)
3,POINT (119938.2306830313 489720.8580052957)
4,POINT (121730.4753963678 484967.7367407589)
5,POINT (122133.0733935515 485457.6118793065)
6,POINT (122419.2342902773 484777.6028377053)
7,POINT (121864.6420289794 485326.0990448044)
8,POINT (121774.6448694804 485278.2435866626)
9,POINT (116065.6010856595 484294.1490585096)
10,POINT (115979.9086234705 484285.2077510014)
11,POINT (116037.6356545648 484286.2161008954)
12,POINT (116014.0034942192 484286.9007347674)
13,POINT (115976.9082071887 484284.8835063083)
14,POINT (116874.3371672141 484032.8739380199)
15,POINT (116873.6484736584 484022.7966151098)
16,POINT (116874.9354266753 484049.9359403169)
17,POINT (116874.4496267399 484044.548084161)
18,POINT (116874.6031074406 484022.304128139)
19,POINT (116873.9020398545 484030.9679556772)
20,POINT (115443.8246292905 484274.7414720276)
21,POINT (116933.9983314826 484481.1054216825)
22,POINT (115616.3597136158 484387.0118898958)
23,POINT (115640.6104650029 484398.3669549894)
24,POINT (115996.5807456015 484428.2482591108)
25,POINT (116002.1152043498 484428.8170749999)
26,POINT (116008.5543301974 484428.1531289898)
27,POINT (116042.3792341856 484951.847103002)
28,POINT (116791.1618694786 484005.4144228461)
29,POINT (114937.6148793522 484649.5547393645)
30,POINT (117199.4374538484 484486.0004599679)
31,POINT (114842.3665804396 484575.461161482)
32,POINT (116855.5488033247 483784.5463833685)
33,POINT (115963.8509179706 484276.1880418947)
34,POINT (115988.4469111222 484276.8683247182)
35,POINT (116038.9502126075 484277.6097094585)
36,POINT (115975.7614383777 484276.2523356641)
37,POINT (116055.5715691508 484279.9970615443)
38,POINT (116077.7948522286 484291.3130485783)
39,POINT (116042.1763448406 484280.856337274)
40,POINT (116055.3023675321 484279.7815865265)
41,POINT (115704.6788076395 484274.3698669689)
42,POINT (114558.01897713 483881.1200126082)
43,POINT (122212.4521195579 484884.7764087825)
44,POINT (122210.3806657492 484882.7717876894)
45,POINT (116493.5698845763 483946.4146535125)
46,POINT (116478.9539186562 483945.9746158611)
47,POINT (116503.8463322268 483946.5013188765)
48,POINT (116469.6654102553 483944.7402453478)
49,POINT (116508.3424272001 483838.8941763791)
50,POINT (122675.6266756035 492445.0158267496)
51,POINT (122643.7856774721 492473.2769488488)
52,POINT (122728.5585829859 492407.397816086)
53,POINT (122653.3509160269 492458.3440750929)
54,POINT (122524.4347799299 492544.8799844669)
55,POINT (122625.9884805361 492487.2358821635)
56,POINT (122647.7770435736 492470.5997898142)
57,POINT (122576.3002554612 492505.1382583135)
58,POINT (122704.3368166755 492411.675635135)
59,POINT (122640.5046160802 492457.6698050677)
60,POINT (122588.5400936516 492495.2659487026)
61,POINT (122592.1814819396 492495.5842710649)
62,POINT (122594.0655639724 492488.4399773807)
63,POINT (122529.9300715097 492538.9990168922)
64,POINT (122729.0591129183 492395.708449377)
65,POINT (122708.8512664308 492425.3637448677)
66,POINT (122668.5174796501 492454.4910787746)
67,POINT (122700.2077100104 492413.1521815931)
68,POINT (122659.3273806434 492449.8136834084)
69,POINT (121973.7726750706 485565.2321753016)
70,POINT (115912.2552188405 484427.4161447167)
71,POINT (115840.387562381 484426.5607319682)
72,POINT (115885.7838021819 484424.9967579411)
73,POINT (115915.4196883176 484426.8754553956)
74,POINT (115669.6259201646 484401.5234963017)
75,POINT (115680.2942972141 484405.1662771391)
76,POINT (115699.2560986967 484411.5245061488)
77,POINT (115977.4484124455 484439.8656719395)
78,POINT (114591.6133160987 483978.6915945709)
79,POINT (116339.0343439251 483934.3768568223)
80,POINT (116384.6347282138 483938.0711990622)
81,POINT (116083.0869586078 484349.126912133)
82,POINT (121635.0743321153 485130.7015691865)
83,POINT (121585.7763733921 485115.929147448)
84,POINT (122328.3977226222 484574.6301367271)
85,POINT (122319.0257042434 484570.4850058847)
86,POINT (116683.8251505125 484449.3155920737)
87,POINT (117331.6974189153 484997.1503965759)
88,POINT (116840.3372039339 483725.5813270813)
89,POINT (116861.6151537838 483683.46881474)
90,POINT (116845.1231031366 483725.907609607)
91,POINT (116849.390845979 483694.5583330708)
92,POINT (116852.1855506876 483709.6181831055)
93,POINT (116849.4856816306 483689.1174154602)
94,POINT (114990.8025985797 484678.3505758164)
95,POINT (115302.4644133061 484711.0037708948)
96,POINT (116792.680719361 483875.1777943177)
97,POINT (116855.4283840739 484042.0429860842)
98,POINT (116855.4662648186 484037.7973267644)
99,POINT (117064.5917211703 484802.3884548165)
100,POINT (122564.8937954422 484571.9513747538)
101,POINT (117646.9901258213 483970.1735143312)
