0,POINT (121640.6806695749 485516.0407922441)
1,POINT (121527.7305022015 485460.7501224548)
2,POINT (121229.738869165 483661.7182129475)
3,POINT (121217.4631609127 483649.7725736708)
4,POINT (121224.8532927215 483653.0706387719)
5,POINT (121327.9565933775 483248.140430345)
6,POINT (121298.3611510332 483274.5918787345)
7,POINT (121289.6357058202 483282.5262296549)
8,POINT (121474.1424609506 483119.6369415136)
9,POINT (121557.821297058 483045.3851416508)
10,POINT (121548.1767251864 483055.0418221359)
11,POINT (121265.9035126184 483303.5408153145)
12,POINT (121352.2979304581 483226.3364197598)
13,POINT (121258.4125323419 483310.6983957004)
14,POINT (121410.0136727935 483175.6272438309)
15,POINT (121433.5660858708 483154.8330630821)
16,POINT (121616.1013891177 482995.5515371205)
17,POINT (121140.5680270453 483413.7929971787)
18,POINT (121155.177705466 483400.5353298527)
19,POINT (121709.7437801564 485558.1212273211)
20,POINT (127792.9231743162 485841.6746329987)
21,POINT (128437.7794335888 485685.115886044)
22,POINT (121774.2338619481 484856.9587424586)
23,POINT (117245.2803570476 484383.8119890746)
24,POINT (117253.9405391168 484381.7388465661)
25,POINT (119726.4419557691 486770.0781754275)
26,POINT (119695.5875294643 486749.0916538599)
27,POINT (117191.0323167622 484455.1469340497)
28,POINT (117203.1287406794 484455.0698550135)
29,POINT (117041.8773940629 484387.2334683715)
30,POINT (117249.7100480701 484370.3539354641)
31,POINT (119719.0103522517 486685.5360787929)
32,POINT (119724.4320677513 486681.4885247818)
33,POINT (117229.1261281955 484422.0341864305)
34,POINT (117219.8794119279 484444.9625697221)
35,POINT (117170.5919326223 484420.2684365601)
36,POINT (117134.0362096659 484429.2428443564)
37,POINT (117142.480526834 484430.3873776544)
38,POINT (117137.6254272207 484431.4443323246)
39,POINT (117033.2560923745 484420.0006948389)
40,POINT (117034.2484265028 484446.4924426506)
41,POINT (117035.2745984951 484438.9407842685)
42,POINT (117032.1241781133 484448.2946659633)
43,POINT (117038.0150192747 484444.99106377)
44,POINT (122191.3812913156 485367.4684228649)
45,POINT (121361.7122557397 485414.7459201384)
46,POINT (117857.6347429226 487440.896516831)
47,POINT (117836.84760673 487341.4189842006)
48,POINT (119894.8677737913 483528.944309281)
49,POINT (119858.2565309377 483525.9049072676)
50,POINT (119703.1838049129 483516.8115002114)
51,POINT (119784.5113775231 483521.4577886416)
52,POINT (119826.1798077025 483523.2527666416)
53,POINT (119763.7394429769 483521.167155602)
54,POINT (116959.857060878 483577.7768154701)
55,POINT (117107.2951408348 483575.0443454818)
56,POINT (117121.9874246698 483575.6979136222)
57,POINT (120429.9318825968 483515.5612852045)
58,POINT (120469.4048662883 483512.5023864488)
59,POINT (120561.3939475423 483508.4877731007)
60,POINT (120500.8207456998 483514.0307259663)
61,POINT (120382.2746156929 483515.6454324848)
62,POINT (120373.2916227297 483516.546238418)
63,POINT (120456.9281419609 483514.9505486115)
64,POINT (120466.8644225634 483514.1518251178)
65,POINT (120540.3132715388 483513.0608722999)
66,POINT (120480.3109832222 483516.4500503262)
67,POINT (113633.7255976089 489531.3145998355)
68,POINT (113615.82230275 489530.8574834036)
69,POINT (113611.7410663576 489529.1273260268)
70,POINT (113922.0090560742 489658.4918571461)
71,POINT (113598.3259754948 489530.0668351125)
72,POINT (113925.7734405239 489663.4469593915)
73,POINT (113661.2195151311 489531.9532542337)
74,POINT (113637.7810031655 489531.1044556663)
75,POINT (113605.8103328176 489526.7689866593)
76,POINT (113918.4803599926 489657.8369718262)
77,POINT (113638.5726602224 489528.2677396073)
78,POINT (113934.1139720558 489662.3719636255)
79,POINT (113648.5133803526 489529.636887895)
80,POINT (113596.8059671342 489529.0287216401)
81,POINT (113654.2448482988 489526.6256126121)
82,POINT (113652.2871470338 489530.9411074119)
83,POINT (113606.7882030301 489526.8808404371)
84,POINT (113620.0228868593 489528.827393443)
85,POINT (113593.8492331846 489529.0050118222)
86,POINT (113935.9582570153 489662.573330181)
87,POINT (113666.2498423049 489529.3221263636)
88,POINT (113644.0517998039 489530.5864206002)
89,POINT (113638.9657877196 489528.6004024048)
90,POINT (113633.7768505911 489530.2197677664)
91,POINT (113631.2870736762 489529.8550242572)
92,POINT (113661.0619734423 489530.2985060639)
93,POINT (113607.3149432375 489531.184138477)
94,POINT (113666.0576530698 489531.6941919806)
95,POINT (113608.6136183191 489529.7495607517)
96,POINT (113661.7128621206 489531.0277327947)
97,POINT (120124.091636375 483538.4771132024)
98,POINT (120147.0435407509 483547.4003974022)
99,POINT (120156.2758795139 483550.1079024451)
100,POINT (120128.6244851611 483542.1463426601)
101,POINT (120330.0387323489 483506.5213879521)
102,POINT (120241.1080856902 483507.345407664)
103,POINT (120333.9232820471 483507.3448371746)
104,POINT (120259.4960638602 483502.7135823148)
105,POINT (120240.3284502466 483504.05354183)
106,POINT (120261.4391181828 483499.3912130039)
107,POINT (120305.1294066139 483506.0649648573)
108,POINT (120293.0271498322 483506.3557889899)
109,POINT (120229.7524415142 483512.0550013984)
110,POINT (120325.9086600629 483501.9382534552)
111,POINT (120291.0344168047 483503.6461402105)
112,POINT (120299.0585492648 483503.4743347371)
113,POINT (113585.5347509746 489610.7652862089)
