0,POINT (122237.5487446227 484471.3411164858)
1,POINT (122470.0543418961 484128.7374000013)
2,POINT (120774.798993699 483765.413134175)
3,POINT (120768.6837569056 483687.6207860469)
4,POINT (121924.0516519389 484328.7456448908)
5,POINT (122300.9902400443 484491.9846847162)
6,POINT (121317.4223884419 483567.6281720603)
7,POINT (122071.7923963643 485383.5439189662)
8,POINT (121288.809003641 485392.7079045177)
9,POINT (121344.6001365002 485411.2793360591)
10,POINT (121787.2760815062 483567.5687719855)
11,POINT (121751.6677154938 483031.8830576618)
12,POINT (121499.6841680144 484003.8333632093)
13,POINT (121644.598360396 485515.6351768518)
14,POINT (121698.2540945059 485544.9485597521)
15,POINT (121341.4632897125 485660.1502336822)
16,POINT (121518.3433751255 484706.9362225286)
17,POINT (122282.4900297368 484108.0908719538)
18,POINT (121425.6701777631 485072.2819095577)
19,POINT (120984.8473676133 485826.7454517671)
20,POINT (121675.4111837932 485222.2469102638)
21,POINT (122451.9544186856 484797.9117731432)
22,POINT (121621.5965456934 485505.077534659)
23,POINT (121336.6300495529 484012.5136095873)
24,POINT (121698.520746133 485494.7107415944)
25,POINT (121444.4042723071 484551.9951930318)
26,POINT (121630.9619235262 483065.3668387894)
27,POINT (121597.7970987145 483996.628400734)
28,POINT (121331.5126572055 484970.803119734)
29,POINT (121832.6859763159 484259.1945521106)
30,POINT (122608.8718371448 484093.0608651908)
31,POINT (122161.6760493561 484409.5666185727)
32,POINT (121734.6939726889 484203.3045575093)
33,POINT (120934.6854129532 484236.382156478)
34,POINT (121256.8411678594 483312.2379621598)
35,POINT (121368.8140448968 483212.9584898698)
36,POINT (121258.3172044438 483310.8334015603)
37,POINT (121569.9714026331 483036.2259585855)
38,POINT (121585.8561027531 483020.9541830847)
39,POINT (121599.5315753172 483009.586488157)
40,POINT (121321.2920460622 483255.6676472767)
41,POINT (121306.3854189581 483267.6750939357)
42,POINT (121352.8532413967 483225.5896000687)
43,POINT (121434.8635170427 483154.613377375)
44,POINT (121524.8861654637 483075.7433779528)
45,POINT (121516.4818864022 483083.2606718625)
46,POINT (121135.083377535 483417.7317987296)
47,POINT (121058.3672610094 483482.0113933893)
48,POINT (120964.9461165882 484971.5025058836)
49,POINT (121667.9071625649 485537.2444577252)
50,POINT (121302.6271190439 484564.5733796775)
51,POINT (124157.383653275 491051.8029042582)
52,POINT (124102.2077997468 491023.7048816588)
53,POINT (121668.4492551976 484101.9269336974)
54,POINT (122470.1871988282 484722.4631523648)
55,POINT (122311.302985373 484490.9251945578)
56,POINT (127822.3057017332 485859.3799507622)
57,POINT (128507.7957195761 485682.3522631795)
58,POINT (128380.6783345984 485793.9934081316)
59,POINT (127974.1554608283 485932.4872934886)
60,POINT (128151.7004579339 485963.908452107)
61,POINT (128520.8366544212 485639.2457873505)
62,POINT (128479.0841878123 485654.8180053029)
63,POINT (121667.602526317 485542.8715635188)
64,POINT (127957.9522557203 485923.5520333668)
65,POINT (128433.9440088036 485689.7075343807)
66,POINT (121717.7855086965 484853.9200686917)
67,POINT (128500.8013044452 485642.7137258778)
68,POINT (128451.9251714243 485682.4062868232)
69,POINT (128500.4461506069 485678.354761322)
70,POINT (121190.6254966167 485353.5207998383)
71,POINT (126088.5935241613 482032.0356340084)
72,POINT (117230.5617853028 484453.1732503208)
73,POINT (117046.8414249723 484391.9630911052)
74,POINT (117238.6406740729 484380.8928667746)
75,POINT (117253.2307914051 484434.403226703)
76,POINT (117239.1902796191 484412.3659187077)
77,POINT (116983.1317099953 489114.1965409162)
78,POINT (119728.3665784933 486765.5475243561)
79,POINT (117144.484836499 484461.3959983491)
80,POINT (126143.3811839837 481973.9600894391)
81,POINT (119709.5749163288 486757.4703209449)
82,POINT (117185.9833130249 489115.7646151563)
83,POINT (117183.7265035504 484444.1014708264)
84,POINT (117176.1407269162 484458.2991523618)
85,POINT (117133.9424359485 484467.5468567248)
86,POINT (119653.3334279755 486799.231984801)
87,POINT (121437.1199155734 485078.125158329)
88,POINT (124069.5779823823 486032.8916554141)
